Filename,Start,PolyHeader,PolySize,Bytes,,,,,PolyHeader,,ENGISTQCC,,," # print(""bit0-1   | Culling      :["" + str(p_flag_bit0_1) + ""] "" + bit_ppar0_1[(p_flag_bit0_1)])"
model_BAS00_002.bin,11480,07 00 00 00,1,40,,,,,07 00 00 00,,00000111,,," # print(""bit2     | Sprite(Quad) :["" + str(p_flag_bit2) + ""] "" + bit_ny[(p_flag_bit2)])"
model_BAS00_012.bin,3208,07 00 00 00,1,40,,,,,08 00 00 00,,00001000,,," # print(""bit3     | Triangles    :["" + str(p_flag_bit3) + ""] "" + bit_ny[(p_flag_bit3)])"
model_BAS00_003.bin,22328,08 00 00 00,1,40,,,,,0c 00 00 00,,00001100,,," # print(""bit4     | Strip        :["" + str(p_flag_bit4) + ""] "" + bit_ny[(p_flag_bit4)])"
model_BAS00_002.bin,37424,0f 00 00 00,1,40,,,,,0e 00 00 00,,00001110,,," # print(""bit5     | Super Index  :["" + str(p_flag_bit5) + ""] "" + bit_ny[(p_flag_bit5)])"
model_BAS00_030.bin,5568,0f 00 00 00,1,40,,,,,0f 00 00 00,,00001111,,," # print(""bit6     | Gouraud      :["" + str(p_flag_bit6) + ""] "" + bit_ppar6[(p_flag_bit6)])"
model_BAS00_003.bin,70560,1e 00 00 00,1,40,,,,,1e 00 00 00,,00011110,,," # print(""bit7     | NOT Send GP  :["" + str(p_flag_bit7) + ""] "" + bit_ppar7[(p_flag_bit7)])"
model_BAS00_002.bin,1224,20 00 00 00,1,40,,,,,1f 00 00 00,,00011111,,," # print(""bit8     | Env.Mapping  :["" + str(p_flag_bit8) + ""] "" + bit_ny[(p_flag_bit8)])"
model_BAS00_011.bin,6272,22 00 00 00,1,40,,,,,20 00 00 00,,00100000,,,
model_BAS00_024.bin,6224,22 00 00 00,1,40,,,,,22 00 00 00,,00100010,,,
model_BAS00_002.bin,41216,23 00 00 00,1,40,,,,,23 00 00 00,,00100011,,,
model_BAS00_003.bin,44800,23 00 00 00,1,40,,,,,24 00 00 00,,00100100,,,
model_BAS00_003.bin,45776,23 00 00 00,1,40,,,,,25 00 00 00,,00100101,,,
model_BAS00_003.bin,46376,23 00 00 00,1,40,,,,,26 00 00 00,,00100110,,,
model_BAS00_010.bin,3184,24 00 00 00,1,40,,,,,29 00 00 00,,00101001,,,
model_BAS00_012.bin,2344,24 00 00 00,1,40,,,,,2a 00 00 00,,00101010,,,
model_BAS00_015.bin,4680,24 00 00 00,1,40,,,,,2d 00 00 00,,00101101,,,
model_BAS00_023.bin,3480,24 00 00 00,1,40,,,,,2e 00 00 00,,00101110,,,
model_BAS00_028.bin,4680,24 00 00 00,1,40,,,,,2f 00 00 00,,00101111,,,
